model name,link,abstract,country,year,parameters,hardware,hardware_compute,hardware_number,hardware_power,training_compute,training_time,power_draw,co2eq
MIDI-VAE,https://archives.ismir.net/ismir2018/paper/000204.pdf,,Switzerland,2018,,NVIDIA GeForce GTX 1080 GPU,,1,170,,192,,
Binary GAN,https://archives.ismir.net/ismir2018/paper/000218.pdf,,Taiwan,2018,3700000,,,,,,,,
Parsing Framework,https://archives.ismir.net/ismir2018/paper/000258.pdf,,"Switzerland, Germany, Canada",2018,,,,,,,,,
Part-invariant,https://archives.ismir.net/ismir2018/paper/000293.pdf,,USA,2018,,,,,,,,,
Sequence Variations,https://archives.ismir.net/ismir2017/paper/000050.pdf,,France,2017,,,,,,,,,
Counterpoint,https://archives.ismir.net/ismir2017/paper/000187.pdf,,Canada,2017,,,,,,,,,
MidiNet,https://archives.ismir.net/ismir2017/paper/000226.pdf,,Taiwan,2017,,,,,,,,,
Scale Rhythm,https://archives.ismir.net/ismir2017/paper/000004.pdf,,Japan,2017,,,,,,,,,
LSTM Study,https://archives.ismir.net/ismir2017/paper/000060.pdf,,UK,2017,,,,,,,,,
Bach LSTM,https://archives.ismir.net/ismir2017/paper/000156.pdf,,UK,2017,,,,,,,,,
Service Melodies,https://archives.ismir.net/ismir2017/paper/000178.pdf,,USA,2017,,Nvidia Tesla K80,,1,300,,96,,
Song2Guitar,https://archives.ismir.net/ismir2017/paper/000041.pdf,,Japan,2017,,,,,,,,,
Tonal Expectation,https://archives.ismir.net/ismir2017/paper/000129.pdf,,"Austria, Singapore",2017,,,,,,,,,
Chord BLSTM,https://archives.ismir.net/ismir2017/paper/000134.pdf,,Korea,2017,,,,,,,,,
TriAD,https://archives.ismir.net/ismir2023/paper/000002.pdf,,,2023,,NVIDIA V100 GPU,,1,250,,144,36,
Duration Tokens,https://archives.ismir.net/ismir2023/paper/000009.pdf,,,2023,,NVIDIA V100 GPUs,,,,,,,
IteraTTA,https://archives.ismir.net/ismir2023/paper/000014.pdf,,,2023,,,,,,,,,
Notation Assembly,https://archives.ismir.net/ismir2023/paper/000020.pdf,,,2023,,Intel Core i7-7700K CPU,,,,,,,
FreqTime Transformer,https://archives.ismir.net/ismir2023/paper/000024.pdf,,,2023,,NVIDIA A100 GPU,,1,300,,987,296.1,
OMR General,https://archives.ismir.net/ismir2023/paper/000037.pdf,,,2023,,NVIDIA GeForce RTX 4090 GPU,,,,,,,
WhisperGPT,https://archives.ismir.net/ismir2023/paper/000040.pdf,,,2023,,,,,,,,,
Hierarchy Decoder,https://archives.ismir.net/ismir2023/paper/000050.pdf,,,2023,,NVIDIA GeForce GTX 1080 GPU,,1,170,,2,0.34,
Speech SSL,https://archives.ismir.net/ismir2023/paper/000054.pdf,,,2023,,NVIDIA A100 GPUs,,8,300,,60,144,
PESTO,https://archives.ismir.net/ismir2023/paper/000063.pdf,,,2023,,NVIDIA GeForce GTX 1080 Ti GPU,,,,,,,
Audio Teachers,https://archives.ismir.net/ismir2023/paper/000068.pdf,,,2023,,,,,,,,,
Harmonic Sensitivity,https://archives.ismir.net/ismir2023/paper/000078.pdf,,,2023,,NVIDIA RTX 2080 Ti GPUs,,,,,,,
MAEST,https://archives.ismir.net/ismir2023/paper/000098.pdf,,,2023,,NVIDIA RTX 2080 Ti GPUs,,4,250,,79,79,
MLP Mixer,https://archives.ismir.net/ismir2023/paper/000100.pdf,,,2023,,,,,,,,,
Symbolic Eval,https://archives.ismir.net/ismir2023/paper/000101.pdf,,,2023,,NVIDIA A5000 GPU,,,,,,,
Attention Embeddings,https://archives.ismir.net/ismir2022/paper/000005.pdf,,,2022,,NVIDIA Tesla V100 GPU,,1,250,,40,10,
Beat Transformer,https://archives.ismir.net/ismir2022/paper/000019.pdf,,,2022,,NVIDIA RTX A5000 GPU,,1,230,,88,20.24,
Stable Pitch,https://archives.ismir.net/ismir2022/paper/000027.pdf,,,2022,,NVIDIA Volta GPUs,,2,250,,48,24,
Chorus Augmentation,https://archives.ismir.net/ismir2022/paper/000028.pdf,,,2022,,NVIDIA Tesla V100 SXM2 GPU,,,,,,,
Audio Reps,https://archives.ismir.net/ismir2022/paper/000030.pdf,,,2022,,NVIDIA A100 GPUs,,16,300,,80,444,
MIDI Score,https://archives.ismir.net/ismir2022/paper/000047.pdf,,,2022,,,,,,,,,
Melody GPT,https://archives.ismir.net/ismir2022/paper/000058.pdf,,,2022,,NVIDIA K40 GPU,,1,235,,72,16.92,
Piano Adaptation,https://archives.ismir.net/ismir2022/paper/000059.pdf,,,2022,,NVIDIA GeForce GTX 1080 Ti GPU,,,,,,,
Checklist Fingering,https://archives.ismir.net/ismir2022/paper/000063.pdf,,,2022,,NVIDIA GeForce RTX 2080 Ti GPU,,1,250,,12,3,
Robust Separation,https://archives.ismir.net/ismir2022/paper/000069.pdf,,,2022,,,,,,,,,
EnsembleSet,https://archives.ismir.net/ismir2022/paper/000075.pdf,,,2022,,NVIDIA A100 GPUs,,4,300,,200,240,
Contrastive Music,https://archives.ismir.net/ismir2022/paper/000077.pdf,,,2022,,,,,,,,,
Diffusion Voice,https://archives.ismir.net/ismir2022/paper/000082.pdf,,,2022,,,,,,,,,
HPPNet,https://archives.ismir.net/ismir2022/paper/000085.pdf,,,2022,,NVIDIA GeForce RTX 3060 GPU,,1,170,,48,8.16,
Choral Separation,https://archives.ismir.net/ismir2022/paper/000087.pdf,,,2022,,NVIDIA RTX 2080 Ti GPUs,,,,,,,
Spellchecker,https://archives.ismir.net/ismir2022/paper/000095.pdf,,,2022,,NVIDIA P100 GPUs,,4,,,,,
Discogs Metadata,https://archives.ismir.net/ismir2022/paper/000099.pdf,,,2022,,NVIDIA GeForce RTX 2080 Ti GPUs,,6,,,,,
Lyric wav2vec,https://archives.ismir.net/ismir2022/paper/000107.pdf,,,2022,,NVIDIA RTX A5000 GPUs,,4,,,,,
